Project,NewC,DSN size,DSN density,DSN bridges,Avg_degree_centrality,,,,,,,,,,,,,,,,,,,,,,,,,sponsor,size,experience
framework,323.3611111,3418,1.86E-05,462,0.002962476,,,,,,,,,,,,,,,,,,,,,,,,,0,937,652.8322061
istio,294.1388889,2753,1.51E-05,258,0.078900709,,,,,,,,,,,,,,,,,,,,,,,,,0,64,1172.326084
sourcegraph,8.833333333,62,0.005331957,18,0.034855467,,,,,,,,,,,,,,,,,,,,,,,,,0,9,1441.939599
numpy,112.5,633,0.000291081,141,0.00905766,,,,,,,,,,,,,,,,,,,,,,,,,1,261,818.6814997
chef,247.0277778,1033,0.000136076,178,0.010785916,,,,,,,,,,,,,,,,,,,,,,,,,0,286,1401.151557
cdnjs,138.5833333,170,0.00283187,56,0.004787375,,,,,,,,,,,,,,,,,,,,,,,,,0,776,809.4091532
openlayers,297.6388889,326,0.000523973,68,0.023001095,,,,,,,,,,,,,,,,,,,,,,,,,1,88,951.4444213
Ghost,176.0555556,1412,6.76E-05,234,0.024155935,,,,,,,,,,,,,,,,,,,,,,,,,1,270,936.4429913
PowerShell,152.8333333,1373,5.11E-05,170,0.006083692,,,,,,,,,,,,,,,,,,,,,,,,,0,61,612.4975916
grpc-java,67.55555556,422,0.000495969,72,0.007311061,,,,,,,,,,,,,,,,,,,,,,,,,0,42,717.6840157
codecombat,359.5833333,327,0.000763528,74,0.011507114,,,,,,,,,,,,,,,,,,,,,,,,,0,549,772.7872454
sequelize,60.88888889,316,0.000447423,70,0.017373032,,,,,,,,,,,,,,,,,,,,,,,,,1,98,453.9241898
ingress-nginx,117.6944444,2124,5.76E-05,306,0.004518413,,,,,,,,,,,,,,,,,,,,,,,,,0,314,1315.100855
parse-server,65.55555556,2011,2.98E-05,194,0.039393939,,,,,,,,,,,,,,,,,,,,,,,,,1,73,1328.720771
jerryscript,46.61111111,128,0.000527713,17,0.114942529,,,,,,,,,,,,,,,,,,,,,,,,,0,41,809.1818201
codesandbox-client,112.4444444,1346,0.000160966,289,0.026057881,,,,,,,,,,,,,,,,,,,,,,,,,0,34,1351.160452
borg,118.7222222,636,0.000268269,108,0.015775957,,,,,,,,,,,,,,,,,,,,,,,,,1,112,1385.701434
realm-cocoa,193.75,1896,3.66E-05,278,0.008316194,,,,,,,,,,,,,,,,,,,,,,,,,0,92,1156.244311
aws-cli,89.86111111,764,0.000219321,180,0.042018559,,,,,,,,,,,,,,,,,,,,,,,,,0,65,723.4865532
amplify-js,171.8611111,4331,1.12E-05,282,0.007036067,,,,,,,,,,,,,,,,,,,,,,,,,0,126,1480.013952
notepad-plus-plus,35.91666667,1648,0.000108504,398,0.021419161,,,,,,,,,,,,,,,,,,,,,,,,,0,34,707.3978542
caffe,99.55555556,2043,4.10E-05,279,0.05122807,,,,,,,,,,,,,,,,,,,,,,,,,0,213,792.2660199
mitmproxy,41.27777778,124,0.004920635,43,0.003284955,,,,,,,,,,,,,,,,,,,,,,,,,1,58,419.3666268
flask,38.61111111,231,0.001429491,67,0.006488878,,,,,,,,,,,,,,,,,,,,,,,,,1,101,436.3067793
cert-manager,110.0555556,1674,4.61E-05,158,0.013145049,,,,,,,,,,,,,,,,,,,,,,,,,0,184,1879.3346
